timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2025-04-24 13:30:00+00:00,SPY250507C00551000,4.23,4.23,4.23,4.23,1.0,1.0,4.23
2025-04-24 13:47:00+00:00,SPY250507C00551000,4.94,4.94,4.94,4.94,1.0,1.0,4.94
2025-04-24 13:48:00+00:00,SPY250507C00551000,4.9,4.9,4.9,4.9,4.0,1.0,4.9
2025-04-24 13:54:00+00:00,SPY250507C00551000,5.1,5.1,5.1,5.1,7.0,1.0,5.1
2025-04-24 14:05:00+00:00,SPY250507C00551000,5.5,5.5,5.5,5.5,4.0,1.0,5.5
2025-04-24 14:24:00+00:00,SPY250507C00551000,6.18,6.18,6.18,6.18,2.0,2.0,6.18
2025-04-24 14:26:00+00:00,SPY250507C00551000,6.22,6.22,6.22,6.22,3.0,1.0,6.22
2025-04-24 15:41:00+00:00,SPY250507C00551000,6.77,6.77,6.77,6.77,46.0,1.0,6.77
2025-04-24 17:48:00+00:00,SPY250507C00551000,7.85,7.85,7.85,7.85,40.0,1.0,7.85
2025-04-24 18:37:00+00:00,SPY250507C00551000,8.42,8.42,8.42,8.42,1.0,1.0,8.42
2025-04-25 13:30:00+00:00,SPY250507C00551000,8.13,8.13,8.13,8.13,2.0,1.0,8.13
2025-04-25 13:32:00+00:00,SPY250507C00551000,7.57,7.57,7.57,7.57,5.0,2.0,7.57
2025-04-25 13:36:00+00:00,SPY250507C00551000,8.2,8.2,8.2,8.2,1.0,1.0,8.2
2025-04-25 13:40:00+00:00,SPY250507C00551000,8.4,8.4,8.4,8.4,1.0,1.0,8.4
2025-04-25 13:41:00+00:00,SPY250507C00551000,8.2,8.2,8.2,8.2,1.0,1.0,8.2
2025-04-25 13:46:00+00:00,SPY250507C00551000,7.9,7.9,7.9,7.9,1.0,1.0,7.9
2025-04-25 13:49:00+00:00,SPY250507C00551000,7.59,7.59,7.59,7.59,1.0,1.0,7.59
2025-04-25 14:16:00+00:00,SPY250507C00551000,7.93,7.93,7.93,7.93,3.0,1.0,7.93
2025-04-25 14:17:00+00:00,SPY250507C00551000,7.75,7.75,7.75,7.75,1.0,1.0,7.75
2025-04-25 14:22:00+00:00,SPY250507C00551000,6.91,6.91,6.91,6.91,2.0,1.0,6.91
2025-04-25 14:38:00+00:00,SPY250507C00551000,7.07,7.07,7.07,7.07,1.0,1.0,7.07
2025-04-25 14:48:00+00:00,SPY250507C00551000,7.5,7.5,7.5,7.5,1.0,1.0,7.5
2025-04-25 14:53:00+00:00,SPY250507C00551000,7.6,7.6,7.6,7.6,1.0,1.0,7.6
2025-04-25 15:02:00+00:00,SPY250507C00551000,7.28,7.28,7.28,7.28,27.0,3.0,7.28
2025-04-25 15:06:00+00:00,SPY250507C00551000,7.42,7.42,7.42,7.42,1.0,1.0,7.42
2025-04-25 15:07:00+00:00,SPY250507C00551000,7.4,7.4,7.4,7.4,1.0,1.0,7.4
2025-04-25 17:18:00+00:00,SPY250507C00551000,8.75,8.75,8.75,8.75,1.0,1.0,8.75
2025-04-25 17:26:00+00:00,SPY250507C00551000,9.04,9.04,9.04,9.04,1.0,1.0,9.04
2025-04-25 17:34:00+00:00,SPY250507C00551000,9.03,9.03,9.03,9.03,1.0,1.0,9.03
2025-04-25 17:40:00+00:00,SPY250507C00551000,8.19,8.19,8.19,8.19,1.0,1.0,8.19
2025-04-25 17:43:00+00:00,SPY250507C00551000,8.28,8.28,8.28,8.28,1.0,1.0,8.28
2025-04-25 18:04:00+00:00,SPY250507C00551000,8.18,8.18,8.18,8.18,4.0,2.0,8.18
2025-04-25 19:22:00+00:00,SPY250507C00551000,8.79,8.79,8.79,8.79,2.0,1.0,8.79
2025-04-25 19:48:00+00:00,SPY250507C00551000,8.23,8.23,8.23,8.23,1.0,1.0,8.23
2025-04-25 19:58:00+00:00,SPY250507C00551000,8.97,8.97,8.97,8.97,5.0,5.0,8.97
